prefName,Label,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
schema:Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:AdministrativeArea,Verwaltungsbereich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Airport,Flughafen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:AmusementPark,Freizeitpark,Funparks,Vergnügungspark,Vergnügungsparks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Aquarium,Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:ArtGallery,Kunstgalerie,Kunstgallerie,Gallerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Article,Artikel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:AutoDealer,Autohändler,Autohändler,Autos kaufen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:AutoRental,Autovermietung,Auto leihen,Auto mieten,Auto rental,Auto vermietung,Autorental,Autoverleih,Autovermietung,Leihauto,Leihwagen,Mietauto,Mietwagen,leihe ich ein Auto,miete ich ein Auto,verleiht Autos,vermietet Autos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:AutomatedTeller,Geldautomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:AutomotiveBusiness,Automobilgeschäft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Bakery,Bäckerei,Brot kaufen,Brot zu kaufen,Brötchen,Brötchen kaufen,Brötchen zu kaufen,Bäcker,Bäckerei,Bäckereien,Bäckerladen,Bäckerläden,bekomme ich Brot,bekomme ich Brötchen,gibt es Brot,gibt es Brötchen,kriege ich Brot,kriege ich Brötchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BankOrCreditUnion,Bank oder Kreditinstitut,Bank- oder Kreditgesellschaft,Bankautomat,Bankautomaten,Banken,Banken/Sparkassen/Bankomaten,Bankfiliale,Bankfilialen,Bankomat,Bankomaten,Geld abheben,Geldautomat,Geldautomaten,Hypo,Raiffeisenbank,Raiffeisenbanken,Raika,Raikas,Sparkasse,Sparkassen,Volksbank,Volksbanken,bank filialen,bekomme ich Geld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BarOrPub,Bar oder Pub,Bar oder Pub,Bars,Bier,Bier trinken,Cocktail,Cocktails,Gin Tonic,Hotelbar,Kneipe,Kneipen,Lounge,Lounges,Parties,Party,Party machen,Pub,Pubs,Rum,Wein,Whiskey,ausgehen,feiern,feiern gehen,trinken gehen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Beach,Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BeautySalon,Kosmetiksalon,Schönheitssalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BedAndBreakfast,Übernachtung mit Frühstück,Bed & Breakfast,Bed And Breakfast,Bed&Breakfast,Bed-and-Breakfast,Frühstücks Pension,Frühstücks Pensionen,Frühstücks-Pension,Frühstücks-Pensionen,Frühstückspension,Frühstückspensionen,Zimmer mit Frühstuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BikeStore,Fahrradladen,Bike reparieren,Bikeladen,Bikeservice,Bikeservices,Fahrrad Werkstatt,Fahrrad Werkstätte,Fahrrad reparieren,Fahrrad-Werkstatt,Fahrrad-Werkstätte,Fahrradgeschäft,Fahrradladen,Fahrradwerkstatt,Fahrradwerkstätte,Radgeschäft,Radwerkstatt,Radwerkstätte,Velo Laden,Velo Service,Velo Werkstatt,Velo Werkstätte,Velo reparieren,Velo-Werkstatt,Velo-Werkstätte,Velogeschäft,Veloladen,Veloservice,Veloservices,Velowerkstatt,Velowerkstätte,repariert Bike,repariert Bikes,repariert Velos,repariert velo,Radservice,Rad reparieren,Radservice machen,Radservice machen lassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BlogPosting,Blog Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BoatReservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BoatTerminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BodyOfWater,Gewässer,Bergsee,Bergseen,Bäche,Fischgewässer,Fischteich,Fischteiche,Fischwasser,Fluss,Flüsse,Gewässer,Meer,Teich,Teiche,Wasserkörper,Wasserstelle,Wasserstellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BookStore,Buchladen,Buchgeschäft,Buchgeschäfte,Buchhandlung,Buchhandlung/Zeitschriften,Buchhandlungen,Buchkauf,Bücher kaufen,Bücherkauf,Magazin kaufen,Magazine kaufen,Zeitschriften,Zeitschriften kaufen,Zeitungen kaufen,Zeitungsgeschäft,Zeitungsgeschäfte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BowlingAlley,Kegelbahn,Bowling,Bowlingcenter,Kegelbahn,Kegelbahnen,Kegeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Brewery,Brauerei,Brauereien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Bridge,Brücke,Bruecken,Brücke,Brücken,Hängebrücke,Hängebrücken,Steg,Stege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BusStation,Busstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:BusStop,Bushaltestelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:CafeOrCoffeeShop,Café,Cafe oder Coffee Shop,Cafe-Restaurant,Cafes,Café,Coffe,Coffe Shop,Coffee,Kaffee,Kaffee Haus,Kaffee Häuser,Kaffee trinken,Kaffee-Haus,Kaffee-Häuser,Kaffeehaus,Kaffeehaus/Konditorei,Kaffees,kaffeehäuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Campground,Campingplatz,Camping,Camping Platz,Camping Plätze,Camping-Platz,Camping-Plätze,Campingplatz,Campingplätze,Campings,Lager aufschlagen,Wohnwagen,Wohnwagenabstellplatz,Wohnwägen,Zelt Platz,Zelt Plätze,Zelt aufschlagen,Zelt-Platz,Zelt-Plätze,Zeltplatz,Zeltplätze,biwakieren,campen,kampieren,zelten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:CampingPitch,Campingplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Casino,Casino,Casino/Spielbank,Spielbank,Spielcasino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Cemetery,Friedhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Church,Kirche,Kapelle,Kapellen,Kirche,Kirchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:City,Stadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:CityHall,Rathaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:CivicStructure,Gemeindegebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:ClothingStore,Bekleidungsgeschäft,Boutique,Boutiquen,Klamotten,Klamotten kaufen,Klamottenladen,Klamottenläden,Kleidergeschäfte,Kleidung,Kleidung kaufen,Kleidungsgeschaeft,Kleidungsgeschäft,Modeboutique,Modeboutiquen,Modegeschäft,Modegeschäfte,Modeladen,Modeläden,Modeshop,Modeshops,kleidung geschaeft,kleidung geschäft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:CourseInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:CreativeWork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:DaySpa,Kureinrichtung,Day Spas,Day-Spa,Day-Spas,DaySpa,DaySpas,Schönheitsfarm,Spa,Spas,Wellness,wellnessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:EducationalOrganization,Bildungseinrichtung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:EmergencyService,Notdienst,Bereitschaftsdienste,Bergrettung,Notfall Service,Notfall-/Bereitschaftsdienst,Notfalldienst,Notfalldienste,Rettung,Rettung/Rettungsdienste,Rettungsdienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
